,Date,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
0,2015-03-13,0.0,5.7,255.956525
1,2015-03-14,5.8,7.1,289.54556139999994
2,2015-03-15,7.4,4.9,289.9186152
3,2015-03-16,8.6,7.5,290.08289560000003
4,2015-03-17,7.6,7.55,290.68877660000004
5,2015-03-18,0.0,8.4,285.417723
6,2015-03-19,0.0,9.75,282.2443597
7,2015-03-20,0.0,8.7,283.4899183
8,2015-03-21,0.0,7.95,283.9203937
9,2015-03-22,0.8,6.55,284.3272472
10,2015-03-23,0.0,9.15,284.5879713
11,2015-03-24,0.0,12.15,284.16886989999995
12,2015-03-25,37.3,10.25,282.4008892
13,2015-03-26,6.0,13.35,275.9375031
14,2015-03-27,10.8,12.0,273.9198491
15,2015-03-28,0.0,9.5,273.939755
16,2015-03-29,0.0,9.6,273.6624202
17,2015-03-30,0.0,10.6,278.0547162
18,2015-03-31,0.0,13.35,276.8946238
19,2015-04-01,0.0,12.05,275.05476860000005
20,2015-04-02,0.0,11.0,273.9272583
21,2015-04-03,0.0,9.45,273.877707
22,2015-04-04,12.3,7.65,273.92275750000005
23,2015-04-05,9.2,5.85,273.55611749999997
24,2015-04-06,0.0,5.3,273.8512721
25,2015-04-07,0.0,3.9,273.63014760000004
26,2015-04-08,0.0,5.8,273.40322630000003
27,2015-04-09,0.0,9.35,261.8903418
28,2015-04-10,0.0,10.8,277.0050769
29,2015-04-11,0.0,10.45,276.7164202
30,2015-04-12,0.0,11.7,276.891222
31,2015-04-13,0.0,13.75,276.88467169999996
32,2015-04-14,0.4,14.6,274.95283739999996
33,2015-04-15,0.0,15.25,273.6325181
34,2015-04-16,0.0,14.9,273.62845110000006
35,2015-04-17,0.2,14.35,273.8138785
36,2015-04-18,0.0,12.8,273.90091
37,2015-04-19,1.4,13.25,274.1168694
38,2015-04-20,0.2,11.8,274.1432099
39,2015-04-21,0.0,12.5,273.99298369999997
40,2015-04-22,0.0,14.6,274.14907569999997
41,2015-04-23,0.0,14.1,274.2687412
42,2015-04-24,0.2,14.9,274.1271984
43,2015-04-25,0.6,14.15,274.2048533
44,2015-04-26,0.0,14.95,274.23857410000005
45,2015-04-27,14.0,11.95,274.2566337
46,2015-04-28,8.2,10.2,274.1222673
47,2015-04-29,8.2,12.1,274.3879241
48,2015-04-30,18.8,11.4,274.44740210000003
49,2015-05-01,0.0,12.4,274.5162938
50,2015-05-02,0.0,14.5,274.5120852
51,2015-05-03,0.0,15.7,274.56413369999996
52,2015-05-04,0.0,19.6,274.6890818
53,2015-05-05,0.0,21.8,274.68113910000005
54,2015-05-06,0.2,22.85,274.6076082
55,2015-05-07,0.0,21.1,274.64488339999997
56,2015-05-08,0.0,18.9,274.7271288
57,2015-05-09,8.5,17.55,274.73954399999997
58,2015-05-10,0.0,17.6,274.8317938
59,2015-05-11,0.0,17.6,274.695843
60,2015-05-12,0.0,17.2,274.8093921
61,2015-05-13,0.0,18.35,274.7552104
62,2015-05-14,0.0,17.45,274.8586989
63,2015-05-15,0.0,17.3,274.7366045
64,2015-05-16,9.2,15.5,274.57489019999997
65,2015-05-17,0.0,20.2,274.5263104
66,2015-05-18,0.0,20.75,274.6188995
67,2015-05-19,0.0,19.9,275.1666475
68,2015-05-20,0.0,18.3,274.3945231
69,2015-05-21,5.0,12.0,274.4671458
70,2015-05-22,2.8,11.7,274.34211560000006
71,2015-05-23,1.8,10.85,274.1636538
72,2015-05-24,2.0,11.3,274.0833288
73,2015-05-25,0.0,12.9,273.9533986
74,2015-05-26,16.8,13.85,273.79922860000005
75,2015-05-27,8.8,13.2,273.7222372
76,2015-05-28,0.2,13.1,273.86665739999995
77,2015-05-29,0.0,14.95,273.6717064
78,2015-05-30,0.0,17.05,273.6753212
79,2015-05-31,13.3,17.65,273.7554743
80,2015-06-01,2.2,18.45,273.6683519
81,2015-06-02,3.4,19.05,273.6685172
82,2015-06-03,0.0,20.55,273.6884255
83,2015-06-04,0.0,21.7,273.6998817
84,2015-06-05,0.0,22.45,273.6648734
85,2015-06-06,0.0,22.2,273.741792
86,2015-06-07,0.0,21.25,273.8530483
87,2015-06-08,2.6,20.45,273.7789352
88,2015-06-10,3.2,19.85,274.1147766
89,2015-06-18,0.2,16.75,274.34961089999996
90,2015-06-19,21.9,18.2,273.9063992
91,2015-09-30,0.0,13.95,227.6734397
92,2015-10-02,15.9,16.5,224.941935
93,2015-10-04,0.0,16.0,227.1598042
94,2015-10-05,3.4,16.0,225.6479256
95,2015-10-06,0.6,17.3,223.02366740000002
96,2016-04-13,0.0,17.1,221.17575069999998
97,2016-04-14,0.0,14.5,221.17575069999998
98,2016-04-15,0.0,13.0,221.17575069999998
99,2016-04-19,0.0,14.55,221.17575069999998
100,2016-04-20,0.0,14.5,221.17575069999998
101,2016-04-21,0.0,14.05,221.17575069999998
102,2016-04-22,0.0,12.6,221.17575069999998
103,2016-04-23,25.8,11.05,240.5792804
104,2016-04-24,32.5,9.3,275.67026810000004
105,2016-04-25,15.0,4.0,275.9887048
106,2016-04-26,2.2,5.6,276.6314134
107,2016-04-27,2.8,10.7,276.12041949999997
108,2016-04-28,0.0,11.0,276.0351943
109,2016-04-29,0.2,13.7,275.98499439999995
110,2016-04-30,1.4,14.05,276.22984410000004
111,2016-05-01,6.0,11.15,276.94187410000006
112,2016-05-02,7.8,7.6,277.0451587
113,2016-05-03,0.2,12.95,275.6731375
114,2016-05-04,0.0,12.35,275.6340509
115,2016-05-05,0.6,12.45,275.8300855
116,2016-05-06,4.0,12.1,275.6085185
117,2016-05-07,5.4,14.3,275.6911855
118,2016-05-08,0.0,15.15,275.879104
119,2016-05-09,0.0,15.7,276.1018298
120,2016-05-10,0.0,18.05,275.9746119
121,2016-05-11,2.6,18.05,276.0763945
122,2016-05-12,13.3,14.75,276.1332902
123,2016-05-13,8.4,13.3,275.93793989999995
124,2016-05-14,14.5,10.6,275.994158
125,2016-05-15,31.9,13.45,276.2410629
126,2016-05-16,6.4,13.25,276.6321392
127,2016-05-17,15.1,9.8,276.5574008
128,2016-05-18,0.2,12.2,276.3624376
129,2016-05-19,6.6,11.75,276.50780960000003
130,2016-05-20,2.6,10.65,276.47879819999997
131,2016-05-21,0.0,17.0,276.5038126
132,2016-05-22,0.0,16.9,276.6522585
133,2016-05-23,0.0,15.0,276.63242
134,2016-05-24,0.6,12.8,278.547754
135,2016-05-25,0.0,14.8,276.8979097
136,2016-05-26,0.0,16.9,276.9522639
137,2016-05-27,0.0,20.05,275.72625330000005
138,2016-05-28,0.0,21.35,277.12683300000003
139,2016-05-29,0.0,19.8,277.2510121
140,2016-05-30,0.0,15.95,277.3687139
141,2016-05-31,0.0,15.75,277.14482230000004
142,2016-06-01,0.0,13.85,277.12556539999997
143,2016-06-02,7.2,14.05,277.045497
144,2016-06-03,3.6,15.95,276.8969536
145,2016-06-04,13.3,16.4,277.0327085
146,2016-06-05,1.8,17.0,276.9569736
147,2016-06-06,4.6,17.85,276.9506957
148,2016-06-07,2.2,16.8,277.0819815
149,2016-06-08,3.2,18.5,276.9707063
150,2016-06-09,9.1,16.75,277.1542318
151,2016-06-10,1.0,17.3,274.7996841
152,2016-06-11,0.0,17.75,277.145346
153,2016-06-12,9.2,16.9,277.4690453
154,2016-06-13,16.2,15.3,276.84250410000004
155,2016-06-14,0.0,17.75,276.8709918
156,2016-06-16,0.0,20.1,277.1059204
157,2016-06-17,0.0,20.05,276.9935108
158,2016-06-18,0.0,19.25,277.0724309
159,2016-06-19,12.0,16.6,276.9428153
160,2016-06-20,0.2,15.6,277.1127232
161,2016-06-21,0.0,18.45,276.99257339999997
162,2016-06-22,0.0,21.25,276.9951204
163,2016-06-23,2.8,22.95,277.0363684
164,2016-06-24,0.0,25.25,276.9091559
165,2016-06-25,0.0,25.1,276.8998325
166,2016-06-26,0.0,23.95,276.86350760000005
167,2016-06-27,0.0,20.75,277.1755239
168,2016-06-28,0.0,20.4,277.018555
169,2016-06-29,0.0,21.15,276.998983
170,2016-06-30,6.8,22.35,276.9656608
171,2016-07-01,4.6,22.95,277.0872416
172,2016-07-02,0.0,23.75,277.2163325
173,2016-07-03,0.0,23.7,277.2061131
174,2016-07-04,0.0,24.05,277.033899
175,2016-07-05,1.4,23.7,277.2789493
176,2016-07-06,15.0,22.1,277.3454921
177,2016-07-07,0.0,23.0,277.3437279
178,2016-07-08,0.0,24.45,277.550972
179,2016-07-09,0.0,23.95,277.98656939999995
180,2016-07-10,15.1,24.25,278.58142139999995
181,2016-07-11,0.0,24.5,279.9468057
182,2016-07-12,0.0,26.0,281.69636710000003
183,2016-07-13,0.0,24.85,282.0539736
184,2016-07-14,0.0,20.55,282.3564243
185,2016-07-15,0.6,16.4,282.8225756
186,2016-07-16,0.0,15.9,283.0484409
187,2016-07-17,0.0,17.6,283.64644330000004
188,2016-07-18,0.0,21.3,283.79882910000003
189,2016-07-19,0.0,23.6,284.4340034
190,2016-07-20,0.0,24.9,284.8536861
191,2016-07-21,0.0,25.0,285.256622
192,2016-07-22,0.0,23.95,286.0645311
193,2016-07-23,0.0,25.8,286.4610258
194,2016-07-24,8.4,19.45,286.9831089
195,2016-07-25,8.4,21.5,286.8368228
196,2016-07-26,0.2,21.25,286.73907189999994
197,2016-07-27,16.3,22.8,287.2794151
198,2016-07-28,0.6,23.4,287.67753319999997
199,2016-07-29,0.0,22.6,288.6508026
200,2016-07-30,0.0,23.7,289.1457136
201,2016-07-31,0.0,24.6,289.46310689999996
202,2016-08-01,0.0,22.9,289.0679475
203,2016-08-02,12.7,23.0,291.4645194
204,2016-08-03,0.0,23.0,291.8707007
205,2016-08-04,0.0,24.0,291.8392389
206,2016-08-05,0.0,23.65,292.99084460000006
207,2016-08-06,11.7,18.25,293.89187010000006
208,2016-08-07,0.0,20.25,294.4546586
209,2016-08-08,0.2,21.2,294.5351649
210,2016-08-09,0.0,22.2,294.6945291
211,2016-08-10,0.0,21.8,295.1120512
212,2016-08-11,0.2,20.9,294.946034
213,2016-08-12,0.0,18.25,295.0102957
214,2016-08-13,0.0,18.8,294.8348528
215,2016-08-14,0.0,20.95,295.06410800000003
216,2016-08-15,0.0,22.45,295.2427033
217,2016-08-16,0.0,23.1,295.2630961
218,2016-08-17,2.6,21.05,295.326775
219,2016-08-18,1.8,20.85,295.27136980000006
220,2016-08-19,0.0,21.1,294.7677332
221,2016-08-20,0.0,22.95,295.0479089
222,2016-08-21,0.0,23.8,295.1718293
223,2016-08-22,0.0,21.25,295.32561780000003
224,2016-08-23,0.0,19.65,295.13194680000004
225,2016-08-24,0.0,21.05,295.02092369999997
226,2016-08-25,0.0,21.85,294.6188372
227,2016-08-26,0.0,23.85,294.82449019999996
228,2016-08-27,0.0,24.15,294.64468839999995
229,2016-08-28,0.0,23.6,294.7649894
230,2016-08-29,0.0,22.85,294.8557078
231,2016-08-30,1.6,23.1,294.87708169999996
232,2016-08-31,1.0,20.75,292.24249069999996
233,2016-09-01,0.4,21.15,294.65547260000005
234,2016-09-02,0.0,22.8,294.5999651
235,2016-09-03,0.0,23.95,294.604008
236,2016-09-04,17.5,22.7,294.64966610000005
237,2016-09-05,1.6,19.95,294.46240939999996
238,2016-09-06,0.0,16.9,294.03035719999997
239,2016-09-07,30.1,15.25,294.2023417
240,2016-09-08,0.2,16.95,294.2041201
241,2016-09-09,2.4,19.3,293.2369257
242,2016-09-10,5.2,17.15,294.05386150000004
243,2016-09-11,3.0,18.35,295.5932285
244,2016-09-12,0.0,19.05,299.93944849999997
245,2016-09-13,2.4,19.95,296.099689
246,2016-09-14,1.4,20.3,293.5109205
247,2016-09-15,0.0,19.2,294.4812448
248,2016-09-16,25.5,19.4,290.7872657
249,2016-09-17,1.2,16.95,283.4181
250,2016-09-18,12.4,14.2,281.50077999999996
251,2016-09-19,5.9,13.85,281.3974709
252,2016-09-20,0.0,17.15,293.8517211
253,2016-09-21,1.4,16.2,300.01347789999994
254,2016-09-22,4.2,16.55,300.0899728
255,2016-09-23,0.0,15.8,299.99189900000005
256,2016-09-24,0.0,16.15,298.0875671
257,2016-09-25,0.0,16.7,298.23991
258,2016-09-26,0.0,16.85,292.8889152
259,2016-09-27,0.0,15.75,286.819351
260,2016-09-28,0.0,16.25,284.31488410000003
261,2016-09-29,0.0,16.55,279.3377616
262,2016-09-30,0.0,16.2,274.10906969999996
263,2016-10-01,0.0,16.55,269.0900348
264,2016-10-02,30.0,14.9,266.936223
265,2016-10-03,0.2,15.85,266.3381576
266,2016-10-04,5.2,15.3,268.188346
267,2016-10-05,2.6,13.65,268.7119371
268,2016-10-06,4.8,12.55,268.20694469999995
269,2016-10-07,21.6,12.15,268.0044138
270,2016-10-08,4.2,12.8,270.4436784
271,2016-10-09,2.6,14.6,273.7954125
272,2016-10-10,1.0,14.05,275.1130855
273,2016-10-11,9.3,11.25,291.8201791
274,2016-10-12,0.0,10.05,295.7178528
275,2016-10-13,0.0,11.45,293.8203305
276,2016-10-14,0.0,20.15,293.9163627
277,2016-10-15,15.5,17.6,294.00053379999997
278,2016-10-16,0.0,16.1,294.3756763
279,2016-10-17,0.0,15.7,294.5310809
280,2016-10-18,3.2,12.15,294.782203
281,2016-10-19,0.2,12.65,294.8405651
282,2016-10-20,2.4,13.0,294.9407111
283,2016-10-21,3.6,13.35,294.4893531
284,2016-10-22,0.0,12.2,294.48645489999996
285,2016-10-23,0.4,13.8,294.4642793
286,2016-10-24,0.0,17.85,294.5531709
287,2016-10-25,0.0,18.7,294.5955628
288,2016-10-26,3.8,17.25,294.53126810000003
289,2016-10-27,22.2,11.45,294.6022972
290,2016-10-28,0.0,11.5,294.5021826
291,2016-10-29,0.0,12.05,294.61663619999996
292,2016-10-30,0.0,13.8,294.6042657
293,2016-10-31,0.0,12.75,294.6192841
294,2016-11-01,0.0,11.35,294.7167377
295,2016-11-02,0.0,11.55,294.679629
296,2016-11-03,7.6,12.4,295.75564219999995
297,2016-11-04,0.0,12.75,296.6075439
298,2016-11-05,0.2,11.6,296.6075439
299,2016-11-06,57.6,13.0,296.6075439
300,2016-11-07,1.2,9.55,296.6075439
301,2016-11-11,24.4,7.3,296.6075439
302,2016-11-12,0.4,5.2,296.6075439
303,2016-11-13,0.0,5.95,296.6075439
304,2016-11-14,0.4,7.25,296.6075439
305,2016-11-15,0.0,7.75,296.6075439
306,2016-11-16,0.0,6.75,296.6075439
307,2016-11-17,1.0,9.45,296.6075439
308,2016-11-18,0.2,13.45,296.6075439
309,2016-11-19,18.7,11.3,296.6075439
310,2016-11-20,0.0,13.3,296.6075439
311,2016-11-21,0.0,12.7,296.6075439
312,2016-11-22,0.0,13.2,296.6075439
313,2016-11-23,0.0,13.2,296.6075439
314,2016-11-24,0.2,13.0,296.6075439
315,2016-11-25,34.4,10.45,296.6075439
316,2016-11-26,0.2,9.8,296.6075439
317,2016-11-27,0.0,9.55,296.6075439
318,2016-11-28,0.0,9.0,296.6075439
319,2016-11-29,0.0,2.1,296.6075439
320,2016-11-30,0.0,3.25,296.6075439
321,2016-12-01,0.0,5.1,296.6075439
322,2016-12-02,0.0,5.5,296.6075439
323,2016-12-03,0.0,6.8,296.6075439
324,2016-12-04,0.0,9.3,296.6075439
325,2016-12-05,0.0,8.6,296.6075439
326,2016-12-06,0.0,7.5,296.6075439
327,2016-12-07,0.0,8.05,296.6075439
328,2016-12-08,0.0,7.15,296.6075439
329,2016-12-09,0.0,8.3,296.6075439
330,2016-12-10,0.0,8.2,296.6075439
331,2016-12-11,0.0,6.35,296.6075439
332,2016-12-12,0.0,8.75,296.6075439
333,2016-12-13,0.0,6.05,296.6075439
334,2016-12-14,0.0,5.8,296.6075439
335,2016-12-15,0.0,6.85,296.6075439
336,2016-12-16,0.0,5.55,296.6075439
337,2016-12-17,0.0,4.35,296.6075439
338,2016-12-18,0.0,3.6,296.6075439
339,2016-12-19,5.0,3.6,296.6075439
340,2016-12-20,2.0,8.2,296.6075439
341,2016-12-21,0.0,9.1,296.6075439
342,2016-12-22,0.0,6.95,296.6075439
343,2016-12-23,0.0,8.65,296.6075439
344,2016-12-24,0.0,9.2,296.6075439
345,2016-12-25,0.0,6.4,296.6075439
346,2016-12-26,0.0,10.25,296.6075439
347,2016-12-27,0.0,8.9,296.6075439
348,2016-12-28,0.0,7.3,296.6075439
349,2016-12-29,0.0,2.15,296.6075439
350,2016-12-30,0.0,1.1,296.6075439
351,2016-12-31,0.0,2.5,296.6075439
352,2017-01-01,0.0,3.35,296.6075439
353,2017-01-02,0.0,3.7,296.6075439
354,2017-01-03,15.0,4.2,296.6075439
355,2017-01-04,0.0,4.35,296.6075439
356,2017-01-05,6.8,1.9,296.6075439
357,2017-01-06,0.0,-4.3,296.6075439
358,2017-01-07,2.2,-4.9,296.6075439
359,2017-01-08,2.0,-3.2,296.6075439
360,2017-01-09,1.4,-0.4,296.6075439
361,2017-01-10,0.0,-2.0,296.6075439
362,2017-01-11,0.0,-2.35,296.6075439
363,2017-01-12,5.8,1.05,296.6075439
364,2017-01-13,28.6,3.1,296.6075439
365,2017-01-14,0.8,0.35,296.6075439
366,2017-01-15,0.0,0.5,296.6075439
367,2017-01-16,0.0,2.45,296.6075439
368,2017-01-17,4.4,2.25,296.6075439
369,2017-01-18,10.0,2.45,296.6075439
370,2017-01-19,0.0,3.7,296.6075439
371,2017-01-20,0.0,3.9,296.6075439
372,2017-01-21,0.0,5.15,296.6075439
373,2017-01-22,0.0,7.15,296.6075439
374,2017-01-23,2.8,6.65,296.6075439
375,2017-01-24,0.8,4.8,296.6075439
376,2017-01-25,0.0,6.1,296.6075439
377,2017-01-26,0.0,3.3,296.6075439
378,2017-01-27,0.0,4.25,296.6075439
379,2017-01-28,0.0,5.35,296.6075439
380,2017-01-29,0.0,4.4,296.6075439
381,2017-01-30,0.0,4.55,296.6075439
382,2017-01-31,0.0,5.8,296.6075439
383,2017-02-01,1.4,6.8,296.6075439
384,2017-02-02,0.0,7.05,296.6075439
385,2017-02-03,2.0,8.4,296.6075439
386,2017-02-04,5.0,9.15,296.6075439
387,2017-02-05,15.8,8.55,296.6075439
388,2017-02-06,30.0,5.9,296.6075439
389,2017-02-07,3.6,6.35,296.6075439
390,2017-02-08,0.2,6.85,296.6075439
391,2017-02-09,1.2,5.55,296.6075439
392,2017-02-10,2.6,8.05,296.6075439
393,2017-02-11,0.0,7.85,296.6075439
394,2017-02-12,0.0,8.15,296.6075439
395,2017-02-13,0.0,8.15,296.6075439
396,2017-02-14,0.0,7.1,296.6075439
397,2017-02-15,0.0,6.95,296.6075439
398,2017-02-16,0.0,8.1,296.6075439
399,2017-02-17,0.0,7.1,296.6075439
400,2017-02-18,6.4,4.95,296.6075439
401,2017-02-19,0.0,5.1,296.6075439
402,2017-02-21,0.0,5.5,294.6357144
403,2017-02-22,0.0,6.85,293.99735939999994
404,2017-02-23,0.0,8.35,294.43378210000003
405,2017-02-24,3.8,8.0,294.82201410000005
406,2017-02-25,2.8,9.05,294.553379
407,2017-02-26,0.0,9.55,292.29148230000004
408,2017-02-27,0.0,9.8,291.2113498
409,2017-02-28,0.6,8.4,291.19615330000005
410,2017-03-01,2.0,8.8,288.6040936
411,2017-03-02,0.0,8.85,289.89635930000003
412,2017-03-03,0.0,9.55,288.7451165
413,2017-03-04,2.2,10.0,288.6375582
414,2017-03-05,25.7,5.85,288.6189608
415,2017-03-06,23.2,8.85,288.0262688
416,2017-03-07,10.8,5.6,287.55791630000004
417,2017-03-08,0.0,8.4,286.4191484
418,2017-03-09,0.0,10.55,286.6520425
419,2017-03-10,1.4,10.85,287.22234130000004
420,2017-03-11,0.2,7.35,286.7405164
421,2017-03-12,0.0,6.8,286.39973100000003
422,2017-03-13,0.0,8.7,286.5646176
423,2017-03-14,0.0,8.65,286.72199900000004
424,2017-03-15,0.0,8.25,286.8243296
425,2017-03-16,0.0,9.65,286.9755518
426,2017-03-17,0.0,11.5,287.7310898
427,2017-03-18,0.0,10.1,288.4987318
428,2017-03-19,0.0,10.3,288.6876497
429,2017-03-20,0.0,12.95,288.0903892
430,2017-03-21,0.0,13.05,287.5985477
431,2017-03-22,0.0,13.5,287.1178523
432,2017-03-23,0.0,13.1,287.096405
433,2017-03-24,0.0,14.65,287.25974489999993
434,2017-03-25,0.0,15.5,287.26295760000005
435,2017-03-26,2.4,12.05,287.231903
436,2017-03-27,8.2,7.35,228.3064201
437,2017-03-28,0.0,8.55,286.7941969
438,2017-03-29,0.0,11.55,286.29798250000005
439,2017-03-30,0.0,14.65,284.8807108
440,2017-03-31,0.0,15.2,286.3353148
441,2017-04-01,0.0,13.6,286.4176215
442,2017-04-02,5.2,11.45,286.45502739999995
